Pop	avg_PRS	LAT	LONG
0	0.00797141751638452	0	0
1	0.0105930137667548	0	1
2	-0.00324461882198615	0	2
3	0.00870693507031061	0	3
4	0.00480803369798158	0	4
5	0.0242557526519849	0	5
6	-0.0306654948337336	1	0
7	-0.00917084252854251	1	1
8	0.0136365777789904	1	2
9	0.0182484473656783	1	3
10	0.00727779670121066	1	4
11	-0.0147344958164512	1	5
12	0.0176174793363691	2	0
13	0.00946826222573897	2	1
14	-0.00245761210414825	2	2
15	-0.00958028972576985	2	3
16	-0.00372988509985074	2	4
17	0.0159474711840281	2	5
18	0.0190141245683613	3	0
19	0.00645530690009891	3	1
20	0.00484303784749476	3	2
21	0.00703605849316597	3	3
22	0.0117323680498662	3	4
23	0.0203455423983731	3	5
24	0.0214044611586003	4	0
25	-0.00850400513777509	4	1
26	-0.0163607117251156	4	2
27	-0.0477225599140918	4	3
28	-0.00881902908740672	4	4
29	0.0230434145815449	4	5
30	0.0215369126453054	5	0
31	0.00647907704427257	5	1
32	-0.0455737519337115	5	2
33	-0.0420848050635461	5	3
34	-0.0480274511337573	5	4
35	0.0102540619433716	5	5
