Pop	avg_PRS	LAT	LONG
0	-0.0602841361559052	0	0
1	-0.00428043752826663	0	1
2	0.0122507385973064	0	2
3	-0.00042106759964422	0	3
4	0.0061635109454898	0	4
5	-0.00287773420829304	0	5
6	-0.0150000528890915	1	0
7	-0.0230303210310634	1	1
8	0.00188984691193591	1	2
9	0.00177131598327247	1	3
10	0.0110559288679533	1	4
11	0.0103917760629397	1	5
12	-0.00191615253630665	2	0
13	-0.0299200005431216	2	1
14	0.0130488656447758	2	2
15	0.00796586269416546	2	3
16	0.0199268649444023	2	4
17	0.0317944192687277	2	5
18	0.00301709009154645	3	0
19	0.00925287955787487	3	1
20	-0.036804735200406	3	2
21	0.0195085386419193	3	3
22	-0.00837768064998633	3	4
23	0.0045951869294936	3	5
24	0.011003884028769	4	0
25	-0.00852889069026435	4	1
26	0.00342748114132424	4	2
27	-0.020105943931127	4	3
28	0.0343698077884859	4	4
29	-0.0158540014904072	4	5
30	-0.00213398293113838	5	0
31	0.0103248229891158	5	1
32	0.00260011360023646	5	2
33	0.00930092021856835	5	3
34	-0.0141514963437394	5	4
35	0.020026778820458	5	5
