Pop	avg_PRS	LAT	LONG
0	-0.0268788741754374	0	0
1	0.00671481888521517	0	1
2	0.0217143221208306	0	2
3	0.0112335859749348	0	3
4	0.00223866420779731	0	4
5	-0.0145602103292122	0	5
6	-0.0172745644860971	1	0
7	-0.024052219741668	1	1
8	0.017082691291369	1	2
9	0.00716479914285047	1	3
10	-0.00197812663171419	1	4
11	0.00122648239127505	1	5
12	-0.0527953547740074	2	0
13	-0.0416037077745856	2	1
14	0.0276697713360186	2	2
15	0.0235827822794762	2	3
16	0.0304313446267557	2	4
17	0.0235355434833021	2	5
18	-0.0922193211340374	3	0
19	-0.0584266071124919	3	1
20	-0.0462457028504818	3	2
21	0.0524738620059316	3	3
22	0.049233069306818	3	4
23	0.0540734477731053	3	5
24	-0.123257773447432	4	0
25	-0.119374358063137	4	1
26	-0.0583010623989686	4	2
27	0.00977772226189129	4	3
28	0.142548144934767	4	4
29	0.147240573811754	4	5
30	-0.162269724121033	5	0
31	-0.131374460368315	5	1
32	-0.089137843852471	5	2
33	0.0191262911748751	5	3
34	0.133697390656295	5	4
35	0.278984603595829	5	5
