Pop	avg_PRS	LAT	LONG
0	-0.117009371475292	0	0
1	-0.0762395135961372	0	1
2	-0.0696328971224964	0	2
3	-0.0778097763747958	0	3
4	-0.0783592117752149	0	4
5	-0.0953997990856687	0	5
6	-0.0833973455531399	1	0
7	-0.0776861535036169	1	1
8	-0.046015553122119	1	2
9	-0.0577256420909698	1	3
10	-0.0541337399925155	1	4
11	-0.0536978835460836	1	5
12	-0.0896727305878616	2	0
13	-0.064877661460085	2	1
14	0.0116319010616012	2	2
15	0.00391462740837929	2	3
16	0.00855622166308356	2	4
17	-0.00126434039212768	2	5
18	-0.0803369549412992	3	0
19	-0.0405106062930298	3	1
20	-0.0206334185840849	3	2
21	0.0731809989299706	3	3
22	0.0631337247056972	3	4
23	0.0781960664028454	3	5
24	-0.0677086203071477	4	0
25	-0.060110848794958	4	1
26	0.000606750796570538	4	2
27	0.0765706325437803	4	3
28	0.204765554033769	4	4
29	0.21928909704702	4	5
30	-0.0801911424374125	5	0
31	-0.0546788404252591	5	1
32	0.0016886834082619	5	2
33	0.108143736646675	5	3
34	0.223033416800092	5	4
35	0.374380640013567	5	5
