Pop	avg_PRS	LAT	LONG
0	-0.578635154750174	0	0
1	-0.583513186820604	0	1
2	-0.543103825697144	0	2
3	-0.553603194320044	0	3
4	-0.568665607041669	0	4
5	-0.594552091985004	0	5
6	-0.437476475974295	1	0
7	-0.425780833256355	1	1
8	-0.390695368188962	1	2
9	-0.406979175130571	1	3
10	-0.389291986023566	1	4
11	-0.398322503992587	1	5
12	-0.172169858075236	2	0
13	-0.141825242929674	2	1
14	-0.143855080766592	2	2
15	-0.127962724524771	2	3
16	-0.12226689230582	2	4
17	-0.120460289269446	2	5
18	0.122559781476718	3	0
19	0.120060074613917	3	1
20	0.142286958290508	3	2
21	0.168208453237689	3	3
22	0.169648435490873	3	4
23	0.181257220675757	3	5
24	0.403486516785519	4	0
25	0.409536767803776	4	1
26	0.402222646940739	4	2
27	0.424292316564859	4	3
28	0.411312384555093	4	4
29	0.403742964210516	4	5
30	0.57168703863023	5	0
31	0.569670154276028	5	1
32	0.539728150423921	5	2
33	0.550343195982985	5	3
34	0.554440398868754	5	4
35	0.554676032224631	5	5
