Pop	avg_PRS	LAT	LONG
0	-0.0968014500662904	0	0
1	-0.0994530860015964	0	1
2	-0.0968337657086063	0	2
3	-0.0976381039982968	0	3
4	-0.108930148240264	0	4
5	-0.104044156545118	0	5
6	-0.0642453796540704	1	0
7	-0.0751634148518156	1	1
8	-0.0529148165342816	1	2
9	-0.0747574928183152	1	3
10	-0.0545879440002713	1	4
11	-0.0589359706303889	1	5
12	-0.0278151450835947	2	0
13	-0.0160280940309227	2	1
14	-0.0131432093129906	2	2
15	-0.0385520705826663	2	3
16	-0.0141530189708323	2	4
17	-0.00244013281840323	2	5
18	0.0277635127710137	3	0
19	0.0212504794232558	3	1
20	0.0122290801378118	3	2
21	0.0315741400624383	3	3
22	0.0322099633895921	3	4
23	0.031914515878741	3	5
24	0.0502225855644411	4	0
25	0.064509732825219	4	1
26	0.0757353229550696	4	2
27	0.0672743178709948	4	3
28	0.045857204918412	4	4
29	0.0536593681527809	4	5
30	0.102386789439418	5	0
31	0.101666339035474	5	1
32	0.0912327928792601	5	2
33	0.107240358768782	5	3
34	0.0893365732792184	5	4
35	0.0903743224968017	5	5
