Pop	avg_PRS	LAT	LONG
0	-0.0311543753706692	0	0
1	-0.0151882995497506	0	1
2	-0.0290636435625943	0	2
3	-0.0651754048142577	0	3
4	-0.0447836633315564	0	4
5	-0.064801823048044	0	5
6	-0.00265868140133624	1	0
7	0.0117115307485674	1	1
8	-0.0161674238996491	1	2
9	-0.021060971173713	1	3
10	-0.0649124420669523	1	4
11	-0.0756560906802149	1	5
12	0.0465326711920511	2	0
13	0.0251084536986239	2	1
14	-0.0140988639966799	2	2
15	-0.0197177271671413	2	3
16	-0.0561583634700164	2	4
17	-0.0642238826770539	2	5
18	0.071220463330377	3	0
19	0.103255929075258	3	1
20	0.0244953949867367	3	2
21	-0.0256521658129931	3	3
22	-0.0480560441537191	3	4
23	-0.0902659465669353	3	5
24	0.0987975928102175	4	0
25	0.161411521000843	4	1
26	0.108591510329649	4	2
27	0.0428873415069202	4	3
28	-0.0509654172601645	4	4
29	-0.062065233317846	4	5
30	0.0604722328430521	5	0
31	0.104603408730216	5	1
32	0.0548292414005055	5	2
33	0.038796164109759	5	3
34	-0.0325575865505401	5	4
35	-0.0583294058909482	5	5
