Pop	avg_PRS	LAT	LONG
0	-0.00976791441184696	0	0
1	-0.00295455083577624	0	1
2	0.00176977163357756	0	2
3	-0.0186799968464374	0	3
4	0.0108747563030126	0	4
5	-0.0109876534285513	0	5
6	-0.00069131853663237	1	0
7	0.022716474958854	1	1
8	0.00860599459552777	1	2
9	0.0186914172548071	1	3
10	-0.00044103238563977	1	4
11	-0.0173602490757737	1	5
12	0.0195352915268834	2	0
13	0.00858865842330988	2	1
14	-0.0192256079267419	2	2
15	0.0116034307778788	2	3
16	0.00343519699364196	2	4
17	-0.00574975291448592	2	5
18	0.00741157277748547	3	0
19	0.0351734969027019	3	1
20	-0.015076890209753	3	2
21	-0.0258873340384498	3	3
22	-0.0153811050939171	3	4
23	-0.0261253346117127	3	5
24	0.00296989859041038	4	0
25	0.0629218371151183	4	1
26	0.030542073679844	4	2
27	0.0196100745274474	4	3
28	-0.0278284359848326	4	4
29	-0.00307729079134086	4	5
30	-0.0444666703323672	5	0
31	-0.0101577569007084	5	1
32	-0.0252783836220705	5	2
33	0.0102690553579847	5	3
34	0.00614604494355685	5	4
35	-0.00172776841500509	5	5
