Pop	avg_PRS	LAT	LONG
0	0.00203627290553761	0	0
1	-0.00724297952013119	0	1
2	-0.00466034598953759	0	2
3	-0.0370532643951605	0	3
4	-0.00480567015419227	0	4
5	0.0089041934095348	0	5
6	-0.0132389567087919	1	0
7	-0.00110728508504859	1	1
8	0.0151078594221318	1	2
9	0.0138236118858197	1	3
10	-0.0140723013287875	1	4
11	-0.000538267006059261	1	5
12	0.0124668058239897	2	0
13	-0.00467208070122805	2	1
14	-0.00825051580602071	2	2
15	-0.0225124996386064	2	3
16	-0.00132781327769091	2	4
17	-0.0180246481458163	2	5
18	-0.0109075398471343	3	0
19	-0.0103108530978397	3	1
20	-0.00160353858676382	3	2
21	-0.0113620657206501	3	3
22	-0.00397470480439327	3	4
23	-0.00107684082996554	3	5
24	-0.0139790410166785	4	0
25	0.198592663942324	4	1
26	-0.00289283877591425	4	2
27	0.00757154324064171	4	3
28	-0.0284361194492981	4	4
29	0.00158004353691281	4	5
30	-0.018416088382193	5	0
31	-0.0144258033669415	5	1
32	0.0172420508891696	5	2
33	0.0101524677527887	5	3
34	-0.0120378603967294	5	4
35	-0.0205475907772782	5	5
