Pop	avg_PRS	LAT	LONG
0	-0.00493342201918075	0	0
1	-0.0351049388567527	0	1
2	-0.012307385052887	0	2
3	-0.0115925645472636	0	3
4	-0.0176896495765798	0	4
5	-0.00814653085551166	0	5
6	0.0281628205164653	1	0
7	-0.00710246153190732	1	1
8	-0.0125460440407668	1	2
9	-0.0144262771795071	1	3
10	-0.0140445649932775	1	4
11	-0.0190133966482639	1	5
12	-0.0237818890546851	2	0
13	-0.00566595668129425	2	1
14	-0.00508318532944359	2	2
15	0.0201006863695521	2	3
16	0.0239368555836991	2	4
17	0.00564893749259915	2	5
18	-0.0280521213898922	3	0
19	-0.0304429029226681	3	1
20	0.0106896816687723	3	2
21	0.0233294339995603	3	3
22	0.016760370611384	3	4
23	0.0350886566878201	3	5
24	-0.00338232934377365	4	0
25	-0.0141668715114733	4	1
26	0.010384233770546	4	2
27	-0.0188090878840005	4	3
28	0.0274899491245255	4	4
29	0.0291092808678997	4	5
30	0.0376297483111399	5	0
31	0.0188169346804877	5	1
32	-0.00140154244495913	5	2
33	-0.000526746906760278	5	3
34	0.00384972932651738	5	4
35	-0.00277745024012168	5	5
