Pop	avg_PRS	LAT	LONG
0	-1.2484473528189	0	0
1	-1.16410921841651	0	1
2	-1.00080193874621	0	2
3	-0.811637165119227	0	3
4	-0.63665086697556	0	4
5	-0.537126572765391	0	5
6	-1.02488313066174	1	0
7	-0.932198520812393	1	1
8	-0.762310517704035	1	2
9	-0.53433465079031	1	3
10	-0.331954750239342	1	4
11	-0.232925852055085	1	5
12	-0.729028792546454	2	0
13	-0.586643649108928	2	1
14	-0.35108903347852	2	2
15	-0.0951303973258739	2	3
16	0.152702434422155	2	4
17	0.262850627730536	2	5
18	-0.390801314569516	3	0
19	-0.26542661946776	3	1
20	0.0356373059007257	3	2
21	0.389757725987891	3	3
22	0.675243798572143	3	4
23	0.862139353267772	3	5
24	-0.0854850292665801	4	0
25	0.0288412035803735	4	1
26	0.403826644137391	4	2
27	0.822029748553249	4	3
28	1.18729274810052	4	4
29	1.37596096665421	4	5
30	0.167560842586721	5	0
31	0.310097531159469	5	1
32	0.697338072272128	5	2
33	1.10826769059599	5	3
34	1.5156291340203	5	4
35	1.72580954532677	5	5
