Pop	avg_PRS	LAT	LONG
0	-0.00690656636473372	0	0
1	0.0919812925815035	0	1
2	0.153421255048767	0	2
3	0.237596245622007	0	3
4	0.28776536336672	0	4
5	0.355955866244937	0	5
6	-0.0749755415856603	1	0
7	-0.0292125190974052	1	1
8	0.0781682886542012	1	2
9	0.180699983945612	1	3
10	0.299008367961609	1	4
11	0.358272971101329	1	5
12	-0.215703908179976	2	0
13	-0.112675188919471	2	1
14	0.0019800115019496	2	2
15	0.12705467516768	2	3
16	0.22157890871907	2	4
17	0.259516884897924	2	5
18	-0.294952808358579	3	0
19	-0.165877229079556	3	1
20	-0.105144717379032	3	2
21	0.00542699791121501	3	3
22	0.0820498486408336	3	4
23	0.16270194612911	3	5
24	-0.370666394785001	4	0
25	0.065435212232016	4	1
26	-0.121575314713438	4	2
27	-0.0904082102927675	4	3
28	-0.0360329356123257	4	4
29	0.0431624897214227	4	5
30	-0.508636453299087	5	0
31	-0.351587874421622	5	1
32	-0.318080146930145	5	2
33	-0.176086271733975	5	3
34	-0.0349593991759454	5	4
35	0.00170487048081353	5	5
